iter	F1	Logloss
0	0.9499925494	0.5008705628
1	0.9577307071	0.368174534
2	0.9610914905	0.2798249951
3	0.9642539535	0.2277637612
4	0.9670282966	0.1917236979
5	0.9700570157	0.1688390587
6	0.9689181105	0.1477722822
7	0.9709522533	0.1349933297
8	0.9718442835	0.1252714599
9	0.9730639184	0.1195133527
10	0.9742019207	0.114411498
11	0.9758349253	0.1107566632
12	0.9755864058	0.1063208829
13	0.9769723195	0.1037459963
14	0.9781254681	0.1011867948
15	0.9783596642	0.09889240204
16	0.9783422281	0.09521034337
17	0.9783422281	0.09334629759
18	0.9781082515	0.09091347784
19	0.9785586934	0.08963816894
20	0.9787748646	0.0883201762
21	0.9787748646	0.08712832126
22	0.979242724	0.08648652508
23	0.9812931612	0.08507363348
24	0.9815073019	0.08422577282
25	0.9826374129	0.08301176918
26	0.9826587422	0.08227129357
27	0.9837884264	0.0807891791
28	0.9837884264	0.08005636782
29	0.9846818595	0.07921124643
30	0.9844471684	0.07858123286
31	0.9849166626	0.07710106026
32	0.9847050511	0.07626543251
33	0.9849166626	0.07572826803
34	0.9851515776	0.07446509824
35	0.9847050511	0.07350387209
36	0.9847050511	0.0733187227
37	0.9847050511	0.0727362852
38	0.9846818595	0.07199371761
39	0.9844701392	0.0711512839
40	0.9853627934	0.07051070256
41	0.9855737231	0.07012060035
42	0.9862538797	0.0690534995
43	0.9860190675	0.06834966164
44	0.9864888037	0.06812246162
45	0.9867238397	0.06701055681
46	0.9867238397	0.06606062547
47	0.9867238397	0.06487643955
48	0.9867238397	0.06433677033
49	0.9867238397	0.06387574727
50	0.9864888037	0.06344232799
51	0.986933763	0.06293886499
52	0.986933763	0.06238684559
53	0.9871688017	0.06171623546
54	0.986933763	0.06104117871
55	0.986933763	0.06068142894
56	0.986933763	0.0597081106
57	0.9871688017	0.05886293292
58	0.9871688017	0.05850390549
59	0.9874039524	0.05780136221
60	0.9876392152	0.05712726702
61	0.9876392152	0.05653249342
62	0.9874039524	0.05616393483
63	0.9874039524	0.05551625671
64	0.9871688017	0.05476278363
65	0.9874039524	0.05430312083
66	0.9874039524	0.05403675486
67	0.9874039524	0.05354630809
68	0.9874039524	0.05333627073
69	0.9874039524	0.05272193292
70	0.9874039524	0.05262797217
71	0.9871688017	0.05206264574
72	0.9874039524	0.05162394961
73	0.9871688017	0.0511637943
74	0.9874039524	0.05094277171
75	0.9874039524	0.05073719505
76	0.9876392152	0.05025569782
77	0.9874039524	0.04968726156
78	0.9876392152	0.04931032098
79	0.98787459	0.04879440931
80	0.98787459	0.04871614777
81	0.98787459	0.04822635298
82	0.98787459	0.0480726583
83	0.98787459	0.04796060617
84	0.98787459	0.04765252261
85	0.98787459	0.04750442374
86	0.98787459	0.04734020819
87	0.98787459	0.04660727965
88	0.98787459	0.0461796391
89	0.9881100772	0.04558791435
90	0.98787459	0.04529305809
91	0.9883191691	0.04490837345
92	0.9887633578	0.04460164545
93	0.9898860625	0.04429379173
94	0.9894426509	0.04375847063
95	0.9889988498	0.04346499339
96	0.9894426509	0.04305851184
97	0.9898860625	0.04292180627
98	0.9898860625	0.0424440896
99	0.990121671	0.04202144448
100	0.9898860625	0.04160270656
101	0.9898860625	0.04151724975
102	0.9903290852	0.04125503022
103	0.9903290852	0.04116013606
104	0.9903290852	0.04103849179
105	0.9907717194	0.04074338224
106	0.9912139657	0.04051623382
107	0.9912139657	0.04043650884
108	0.9912139657	0.04037359942
109	0.9912139657	0.04019537325
110	0.9912139657	0.04006341919
111	0.9912139657	0.03988642663
112	0.9912139657	0.03979816019
113	0.9912139657	0.03965055382
114	0.9923329144	0.03932619881
115	0.9923329144	0.0390089992
116	0.9923329144	0.03869790197
117	0.9923329144	0.03859235561
118	0.9923329144	0.03815196151
119	0.9923329144	0.03781478492
120	0.9927740016	0.03744820573
121	0.9932147027	0.03717199903
122	0.9932147027	0.03711158028
123	0.9932147027	0.03705983902
124	0.9932147027	0.03689825252
125	0.9932147027	0.03674707431
126	0.9932147027	0.03626992285
